,age19Down,age19To25,age26To35,age36To45,age46To55,age55Up,appName,femalePer,malePer,perferMom,preferCar,preferCommu,preferEdu,preferEnt,preferEs,preferFina,preferFit,preferInside,preferLife,preferMakeUp,preferMedia,preferNews,preferPhone,preferRead,preferShopping,preferSocial,preferTravel,preferWork,category,similarApp
1802,0.046920800000000006,0.228739,0.5249267,0.16129029999999997,0.038123199999999996,0.0,手机管家,0.4459459,0.5540541,0.011773700000000002,0.0197082,0.09086260000000002,0.0506783,0.0255951,0.0066546999999999995,0.0685948,0.027386700000000003,0.0148451,0.0898388,0.005118999999999999,0.0916304,0.0760174,0.09111849999999999,0.0660353,0.07345789999999999,0.059892499999999994,0.0703865,0.0604044,移动工具--实用工具,"懒人天气,来电通,流量助手,360锁屏,TV SideView,绿色守护,畅WiFi,猎豹锁屏大师,百度一键root,Wifi 分析仪"
1803,0.022438099999999996,0.2128152,0.5720564,0.1559102,0.032616200000000005,0.0041638000000000005,小蓝单车,0.3386854,0.6613146,0.015707299999999997,0.0331321,0.072884,0.051273900000000004,0.0291469,0.0243447,0.070783,0.04518780000000001,0.0283632,0.07346760000000001,0.005786,0.0725672,0.0667145,0.0726172,0.0610285,0.0707664,0.0646135,0.0742013,0.0674148,出行服务--共享单车,"哈啰出行,摩拜单车,ofo共享单车,永安行,酷骑单车,小鸣单车"
1804,0.0264151,0.1962264,0.5622642,0.1622642,0.03396230000000001,0.0188679,单机忍者切水果,0.43373490000000003,0.5662651,0.0173734,0.015017700000000002,0.08097760000000001,0.0718492,0.0117786,0.008245,0.0718492,0.0200236,0.0544759,0.0797998,0.0041225,0.08215549999999999,0.0706714,0.08303889999999998,0.0721437,0.0759717,0.0553592,0.0650766,0.0600707,手机游戏--休闲游戏,"果汁四溅,猪猪侠之百变联盟,决战黄金鲨,消灭星星5,泡泡龙II,宝石仙境-天天消宝石,猪猪侠爱消除,消灭星星(中文版),祖玛传奇,全民千炮捕鱼"
1805,0.012461100000000001,0.26168220000000003,0.5015576,0.1838006,0.040498400000000004,0.0,摩擦,0.2857143,0.7142857,0.0066560000000000005,0.0257058,0.0812486,0.0417719,0.0284599,0.016525099999999997,0.06977280000000001,0.0328207,0.017443200000000002,0.080101,0.008721600000000001,0.08193710000000001,0.0677071,0.08101900000000001,0.0615102,0.0755107,0.08193710000000001,0.0727565,0.0683957,通讯社交--匿名社交,"对面,同志交友 Jackd,床上社交,BeeTalk 蜜语,秘密,烈火Miao,请吃饭,柏拉图,友加,秘峰"
1806,0.0240572,0.2126138,0.5383614999999999,0.1644993,0.060468100000000004,0.0,Badoo,0.2572741,0.7427259,0.0011091,0.0069807,0.11123430000000001,0.0313152,0.022181599999999996,0.0041101,0.0411665,0.0194415,0.0088074,0.1041884,0.0054802,0.1028836,0.0431889,0.1128001,0.0666101,0.0454723,0.11214769999999999,0.07881,0.082072,通讯社交--社区社交,"闪聊,常熟零距离,爱智学,美荔姐妹聊,一起走,开心网,钓鱼助手钓友派,桔色,文玩迷,动感校园"
1807,0.0384615,0.2692308,0.525641,0.12820510000000002,0.0384615,0.0,宝石仙境-天天消宝石,0.5333333,0.46666670000000005,0.0215983,0.014038900000000002,0.0809935,0.0658747,0.0183585,0.0097192,0.0583153,0.0194384,0.0356371,0.07667389999999999,0.0064795,0.0863931,0.074514,0.0863931,0.0712743,0.07019439999999999,0.0723542,0.0669546,0.0647948,手机游戏--休闲游戏,"猪猪侠之百变联盟,决战黄金鲨,消灭星星5,泡泡龙II,单机忍者切水果,猪猪侠爱消除,消灭星星(中文版),祖玛传奇,全民千炮捕鱼,愤怒的小鸟-春节狂欢"
1808,0.05134059999999999,0.1277809,0.7130633000000001,0.0935539,0.011409,0.0028523000000000003,宝宝巴士-数字123,0.8073807,0.1926193,0.07088960000000001,0.019829,0.0725245,0.0750817,0.018194,0.010145,0.06074450000000001,0.030854400000000004,0.019493599999999996,0.0735306,0.011109200000000001,0.074411,0.0627987,0.07374030000000001,0.071728,0.0667393,0.060157600000000006,0.06476900000000001,0.0632598,学习教育--早教辅导,"口袋故事读读,宝宝巴士-宝宝认时钟,宝宝巴士-宝宝学加法,中国幼儿园在线,宝宝职业认知,开心熊宝,宝宝巴士-宝宝涂吧,宝宝巴士-宝宝认家庭成员,宝贝童话儿童故事儿歌,Hello Kitty咖啡馆"
1809,0.0238095,0.1861472,0.5822510999999999,0.1796537,0.0238095,0.0043289999999999995,开心熊宝,0.6273764000000001,0.3726236,0.05125319999999999,0.020565599999999996,0.07069410000000001,0.07824550000000001,0.0224936,0.011407500000000001,0.0599293,0.0330977,0.023296900000000002,0.0784062,0.0115681,0.0793702,0.061536,0.0785668,0.0692481,0.0637853,0.0583226,0.061054,0.0671594,学习教育--早教辅导,"宝宝巴士-宝宝认时钟,宝宝巴士-宝宝学加法,中国幼儿园在线,宝宝职业认知,宝宝巴士-数字123,宝宝巴士-宝宝涂吧,宝宝巴士-宝宝认家庭成员,宝贝童话儿童故事儿歌,Hello Kitty咖啡馆,宝宝巴士-萌宝儿歌大全"
1810,0.0158014,0.2031603,0.5756208,0.1805869,0.0248307,0.0,三星手电筒,0.296748,0.703252,0.011862200000000002,0.022782900000000002,0.0858595,0.0410469,0.017134200000000002,0.0094144,0.0721145,0.042176599999999995,0.016946,0.08604780000000001,0.0039540999999999995,0.08454149999999999,0.0721145,0.08604780000000001,0.0638298,0.0674073,0.0604406,0.07738660000000001,0.0788929,移动工具--生活工具,"移动集团号簿,一键换机,辽宁移动,天下游,醒醒,查周边-语音生活导航,招财狗,移动流量管家,一起沃,邻趣"
1811,0.034567900000000006,0.2493827,0.5012346,0.18518520000000002,0.024691400000000002,0.0049383000000000005,斗龙战士3龙印之战,0.5408805,0.45911949999999996,0.028061799999999998,0.014574700000000001,0.09158150000000001,0.07287360000000001,0.0126169,0.004133100000000001,0.0572112,0.0160975,0.0152273,0.0902763,0.005873399999999999,0.095062,0.07178589999999999,0.09680230000000001,0.0730911,0.0667827,0.0626496,0.0687405,0.0565586,手机游戏--角色扮演,"花千骨,仙境传说RO,模拟山羊,光明大陆-3D魔幻大电影,神雕侠侣,狂斩三国2,倚天屠龙记,全民奇迹,圣斗士星矢-重生,剑侠世界"
